address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
5927 Junction St,LOS ANGELES,CA,90001,435000,1222.0,3.0,1.0,1.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/5927-Junction-St-Los-Angeles-CA-90001/20931530_zpid/
8116 Stanford Ave,LOS ANGELES,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-Los-Angeles-CA-90001/20944561_zpid/
819 E 75th St,LOS ANGELES,CA,90001,750000,1322.0,4.0,4.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/819-E-75th-St-Los-Angeles-CA-90001/20941013_zpid/
838 E 76th St,LOS ANGELES,CA,90001,440000,1192.0,3.0,2.0,2.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/838-E-76th-St-Los-Angeles-CA-90001/20941210_zpid/
636 E 73rd St,LOS ANGELES,CA,90001,778000,3488.0,10.0,6.0,4.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/636-E-73rd-St-Los-Angeles-CA-90001/20940914_zpid/
8019 Hooper Ave,LOS ANGELES,CA,90001,439000,1061.0,4.0,2.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8019-Hooper-Ave-Los-Angeles-CA-90001/20943989_zpid/
842 E 85th St,LOS ANGELES,CA,90001,415000,1512.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/842-E-85th-St-Los-Angeles-CA-90001/20945098_zpid/
7809 Crockett Blvd,Los Angeles,CA,90001,1399000,,10.0,10.0,17.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7809-Crockett-Blvd-Los-Angeles-CA-90001/250339376_zpid/
7512 Mckinley Ave,LOS ANGELES,CA,90001,370000,858.0,2.0,2.0,134.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7512-Mckinley-Ave-Los-Angeles-CA-90001/20941087_zpid/
7920 Hooper Ave,LOS ANGELES,CA,90001,459000,1550.0,4.0,2.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/7920-Hooper-Ave-Los-Angeles-CA-90001/20943734_zpid/
649 E 73rd St,LOS ANGELES,CA,90001,379999,1372.0,3.0,1.0,1.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/649-E-73rd-St-Los-Angeles-CA-90001/20940775_zpid/
1430 E 60th St,LOS ANGELES,CA,90001,,1883.0,5.0,,147.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/1430-E-60th-St-Los-Angeles-CA-90001/20931156_zpid/
831 E 77th St # 833,Los Angeles,CA,90001,337000,1349.0,3.0,2.0,288.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/831-E-77th-St-833-Los-Angeles-CA-90001/2090120983_zpid/
8017 Hooper Ave,LOS ANGELES,CA,90001,419000,1061.0,2.0,1.0,9.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8017-Hooper-Ave-Los-Angeles-CA-90001/20943990_zpid/
1600 Firestone Blvd,Los Angeles,CA,90001,829000,3600.0,8.0,6.0,,New construction,http://www.zillow.com/homes/for_sale//homedetails/1600-Firestone-Blvd-Los-Angeles-CA-90001/2102069676_zpid/
1406 E 71st St,LOS ANGELES,CA,90001,445000,1774.0,4.0,3.0,304.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1406-E-71st-St-Los-Angeles-CA-90001/20932588_zpid/
727 E 75th St,LOS ANGELES,CA,90001,575000,1800.0,4.0,3.0,22.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/727-E-75th-St-Los-Angeles-CA-90001/20940981_zpid/
8116 Stanford Ave # 1,Los Angeles,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-1-Los-Angeles-CA-90001/2086224984_zpid/
8116 Stanford Ave # 2,Los Angeles,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-2-Los-Angeles-CA-90001/2086224983_zpid/
8116 Stanford Ave # 3,Los Angeles,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-3-Los-Angeles-CA-90001/2086224982_zpid/
1411 E 68th St,LOS ANGELES,CA,90001,345000,640.0,3.0,1.0,155.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1411-E-68th-St-Los-Angeles-CA-90001/20932493_zpid/
8127 Lou Dillon Ave,LOS ANGELES,CA,90001,359000,612.0,3.0,1.0,81.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8127-Lou-Dillon-Ave-Los-Angeles-CA-90001/20942934_zpid/
1722 1724 E 64th St,Los Angeles,CA,90001,360000,1314.0,3.0,2.0,91.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1722-1724-E-64th-St-Los-Angeles-CA-90001/2087241680_zpid/
2056 E 76th St,LOS ANGELES,CA,90001,415000,1000.0,3.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2056-E-76th-St-Los-Angeles-CA-90001/20942500_zpid/
1255 E 84th St,LOS ANGELES,CA,90001,400000,1165.0,2.0,1.0,43.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1255-E-84th-St-Los-Angeles-CA-90001/20944239_zpid/
1256 E 67th St,LOS ANGELES,CA,90001,364900,766.0,2.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1256-E-67th-St-Los-Angeles-CA-90001/20932237_zpid/
1004 E 76th St,LOS ANGELES,CA,90001,630000,1676.0,4.0,3.0,17.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1004-E-76th-St-Los-Angeles-CA-90001/20941239_zpid/
